subject,target_distance,condition,perc_dist,sd_perc_dist,sem_perc_dist,logperc_dist,logperc_dist_sem
S009,2,Non-individualized HRTF,2,0,0,0.3010299956639812,-Inf
S009,3,Incongruous room,0.4875,0.3705289012569285,0.18526445062846425,-0.3120253799654444,-0.7322079070547699
S009,3,Closed headphones,0.875,0.75,0.375,-0.057991946977686754,-0.42596873227228116
S009,3,Individualized HRTF,3.125,0.47871355387816905,0.23935677693908453,0.494850021680094,-0.6209542717726623
S009,3,Real speakers,2.625,0.47871355387816905,0.23935677693908453,0.4191293077419757,-0.6209542717726623
S009,3,Non-individualized HRTF,2.375,0.47871355387816905,0.23935677693908453,0.3756636139608854,-0.6209542717726623
S009,4,Incongruous room,0.65,0.40414518843273806,0.20207259421636903,-0.18708664335714442,-0.6944925830095555
S009,4,Closed headphones,1,0.408248290463863,0.2041241452319315,0,-0.690105620855803
S009,4,Individualized HRTF,3.5,0.5773502691896257,0.28867513459481287,0.5440680443502757,-0.5395906230238124
S009,4,Real speakers,2.875,0.25,0.125,0.4586378490256493,-0.9030899869919435
S009,4,Non-individualized HRTF,2.75,0.5,0.25,0.43933269383026263,-0.6020599913279624
S009,5,Incongruous room,0.475,0.37749172176353746,0.18874586088176873,-0.3233063903751334,-0.7241225634917168
S009,5,Closed headphones,1,0.408248290463863,0.2041241452319315,0,-0.690105620855803
S009,5,Individualized HRTF,3.5,0.408248290463863,0.2041241452319315,0.5440680443502757,-0.690105620855803
S009,5,Real speakers,3,0.7071067811865476,0.3535533905932738,0.47712125471966244,-0.45154499349597177
S009,5,Non-individualized HRTF,3,0,0,0.47712125471966244,-Inf
S009,6,Incongruous room,0.45,0.1,0.05,-0.3467874862246563,-1.3010299956639813
S009,6,Closed headphones,1.5,0.408248290463863,0.2041241452319315,0.17609125905568124,-0.690105620855803
S009,6,Individualized HRTF,3.75,0.5,0.25,0.5740312677277188,-0.6020599913279624
S009,6,Real speakers,3.375,0.25,0.125,0.5282737771670437,-0.9030899869919435
S009,6,Non-individualized HRTF,3.125,0.25,0.125,0.494850021680094,-0.9030899869919435
S010,1,Incongruous room,0.8500000000000001,0.09999999999999998,0.04999999999999999,-0.07058107428570722,-1.3010299956639813
S010,1,Closed headphones,0.95,0.09999999999999998,0.04999999999999999,-0.022276394711152253,-1.3010299956639813
S010,1,Individualized HRTF,3.625,1.1086778913041726,0.5543389456520863,0.5593080109070125,-0.25622460853070267
S010,1,Real speakers,1.625,0.25,0.125,0.21085336531489318,-0.9030899869919435
S010,1,Non-individualized HRTF,2.25,0.6454972243679028,0.3227486121839514,0.3521825181113625,-0.4911356165197842
S010,2,Incongruous room,1.25,0.5,0.25,0.09691001300805642,-0.6020599913279624
S010,2,Closed headphones,4.25,0.9574271077563381,0.47871355387816905,0.6283889300503115,-0.31992427610868107
S010,2,Individualized HRTF,3.75,0.9574271077563381,0.47871355387816905,0.5740312677277188,-0.31992427610868107
S010,2,Real speakers,4.25,1.0408329997330663,0.5204164998665332,0.6283889300503115,-0.2836489425343752
S010,2,Non-individualized HRTF,3.75,2.8722813232690143,1.4361406616345072,0.5740312677277188,0.15719697861098134
S010,3,Incongruous room,2.25,0.5,0.25,0.3521825181113625,-0.6020599913279624
S010,3,Closed headphones,8,1.4142135623730951,0.7071067811865476,0.9030899869919435,-0.15051499783199057
S010,3,Individualized HRTF,5.875,1.181453906563152,0.590726953281576,0.7690078709437739,-0.22861321300136164
S010,3,Real speakers,4.75,1.6583123951777,0.82915619758885,0.6766936096248666,-0.08136364874884988
S010,3,Non-individualized HRTF,6.625,0.75,0.375,0.8211858826088455,-0.42596873227228116
S010,4,Incongruous room,2.75,0.5,0.25,0.43933269383026263,-0.6020599913279624
S010,4,Closed headphones,8.5,1.7320508075688772,0.8660254037844386,0.9294189257142927,-0.06246936830415
S010,4,Individualized HRTF,7,0.408248290463863,0.2041241452319315,0.8450980400142568,-0.690105620855803
S010,4,Real speakers,6.5,1,0.5,0.8129133566428556,-0.3010299956639812
